"","code","date","value","uname","tcode"
"112","JPM366_EMBI366",1994-10-06,745,"",NA
"113","JPM366_EMBI366",1994-10-07,752,"",NA
"114","JPM366_EMBI366",1994-10-11,756,"",NA
"115","JPM366_EMBI366",1994-10-12,759,"",NA
"116","JPM366_EMBI366",1994-10-13,751,"",NA
"117","JPM366_EMBI366",1994-10-14,758,"",NA
"118","JPM366_EMBI366",1994-10-17,767,"",NA
"119","JPM366_EMBI366",1994-10-18,774,"",NA
"120","JPM366_EMBI366",1994-10-19,785,"",NA
"121","JPM366_EMBI366",1994-10-20,777,"",NA
"122","JPM366_EMBI366",1994-10-21,777,"",NA
"123","JPM366_EMBI366",1994-10-24,791,"",NA
"124","JPM366_EMBI366",1994-10-25,819,"",NA
"125","JPM366_EMBI366",1994-10-26,822,"",NA
"126","JPM366_EMBI366",1994-10-27,859,"",NA
"127","JPM366_EMBI366",1994-10-28,839,"",NA
"128","JPM366_EMBI366",1994-10-31,852,"",NA
"129","JPM366_EMBI366",1994-11-01,868,"",NA
"130","JPM366_EMBI366",1994-11-02,905,"",NA
"131","JPM366_EMBI366",1994-11-03,913,"",NA
"132","JPM366_EMBI366",1994-11-04,900,"",NA
"133","JPM366_EMBI366",1994-11-07,899,"",NA
"134","JPM366_EMBI366",1994-11-08,874,"",NA
"135","JPM366_EMBI366",1994-11-09,852,"",NA
"136","JPM366_EMBI366",1994-11-10,849,"",NA
"137","JPM366_EMBI366",1994-11-14,826,"",NA
"138","JPM366_EMBI366",1994-11-15,807,"",NA
"139","JPM366_EMBI366",1994-11-16,818,"",NA
"140","JPM366_EMBI366",1994-11-17,846,"",NA
"141","JPM366_EMBI366",1994-11-18,852,"",NA
"142","JPM366_EMBI366",1994-11-21,886,"",NA
"143","JPM366_EMBI366",1994-11-22,871,"",NA
"144","JPM366_EMBI366",1994-11-23,867,"",NA
"145","JPM366_EMBI366",1994-11-25,869,"",NA
"146","JPM366_EMBI366",1994-11-28,859,"",NA
"147","JPM366_EMBI366",1994-11-29,839,"",NA
"148","JPM366_EMBI366",1994-11-30,817,"",NA
"149","JPM366_EMBI366",1994-12-01,814,"",NA
"150","JPM366_EMBI366",1994-12-02,807,"",NA
"151","JPM366_EMBI366",1994-12-05,811,"",NA
"152","JPM366_EMBI366",1994-12-06,812,"",NA
"153","JPM366_EMBI366",1994-12-07,821,"",NA
"154","JPM366_EMBI366",1994-12-08,823,"",NA
"155","JPM366_EMBI366",1994-12-09,812,"",NA
"156","JPM366_EMBI366",1994-12-12,814,"",NA
"157","JPM366_EMBI366",1994-12-13,798,"",NA
"158","JPM366_EMBI366",1994-12-14,787,"",NA
"159","JPM366_EMBI366",1994-12-15,784,"",NA
"160","JPM366_EMBI366",1994-12-16,797,"",NA
"161","JPM366_EMBI366",1994-12-19,798,"",NA
"162","JPM366_EMBI366",1994-12-20,803,"",NA
"163","JPM366_EMBI366",1994-12-21,857,"",NA
"164","JPM366_EMBI366",1994-12-22,919,"",NA
"165","JPM366_EMBI366",1994-12-23,876,"",NA
"166","JPM366_EMBI366",1994-12-27,980,"",NA
"167","JPM366_EMBI366",1994-12-28,947,"",NA
"168","JPM366_EMBI366",1994-12-29,895,"",NA
"169","JPM366_EMBI366",1994-12-30,923,"",NA
"170","JPM366_EMBI366",1995-01-03,924,"",NA
"171","JPM366_EMBI366",1995-01-04,985,"",NA
"172","JPM366_EMBI366",1995-01-05,957,"",NA
"173","JPM366_EMBI366",1995-01-06,988,"",NA
"174","JPM366_EMBI366",1995-01-09,1162,"",NA
"175","JPM366_EMBI366",1995-01-10,1362,"",NA
"176","JPM366_EMBI366",1995-01-11,1250,"",NA
"177","JPM366_EMBI366",1995-01-12,1042,"",NA
"178","JPM366_EMBI366",1995-01-13,1010,"",NA
"179","JPM366_EMBI366",1995-01-17,1035,"",NA
"180","JPM366_EMBI366",1995-01-18,1019,"",NA
"181","JPM366_EMBI366",1995-01-19,1055,"",NA
"182","JPM366_EMBI366",1995-01-20,1064,"",NA
"183","JPM366_EMBI366",1995-01-23,1072,"",NA
"184","JPM366_EMBI366",1995-01-24,1049,"",NA
"185","JPM366_EMBI366",1995-01-25,1063,"",NA
"186","JPM366_EMBI366",1995-01-26,1048,"",NA
"187","JPM366_EMBI366",1995-01-27,1108,"",NA
"188","JPM366_EMBI366",1995-01-30,1175,"",NA
"189","JPM366_EMBI366",1995-01-31,1057,"",NA
"190","JPM366_EMBI366",1995-02-01,1055,"",NA
"191","JPM366_EMBI366",1995-02-02,1085,"",NA
"192","JPM366_EMBI366",1995-02-03,1047,"",NA
"193","JPM366_EMBI366",1995-02-06,1019,"",NA
"194","JPM366_EMBI366",1995-02-07,1041,"",NA
"195","JPM366_EMBI366",1995-02-08,1077,"",NA
"196","JPM366_EMBI366",1995-02-09,1099,"",NA
"197","JPM366_EMBI366",1995-02-10,1119,"",NA
"198","JPM366_EMBI366",1995-02-13,1131,"",NA
"199","JPM366_EMBI366",1995-02-14,1170,"",NA
"200","JPM366_EMBI366",1995-02-15,1198,"",NA
"201","JPM366_EMBI366",1995-02-16,1216,"",NA
"202","JPM366_EMBI366",1995-02-17,1146,"",NA
"203","JPM366_EMBI366",1995-02-21,1180,"",NA
"204","JPM366_EMBI366",1995-02-22,1219,"",NA
"205","JPM366_EMBI366",1995-02-23,1184,"",NA
"206","JPM366_EMBI366",1995-02-24,1195,"",NA
"207","JPM366_EMBI366",1995-02-27,1229,"",NA
"208","JPM366_EMBI366",1995-02-28,1214,"",NA
"209","JPM366_EMBI366",1995-03-01,1244,"",NA
"210","JPM366_EMBI366",1995-03-02,1300,"",NA
"211","JPM366_EMBI366",1995-03-03,1265,"",NA
"212","JPM366_EMBI366",1995-03-06,1343,"",NA
"213","JPM366_EMBI366",1995-03-07,1444,"",NA
"214","JPM366_EMBI366",1995-03-08,1513,"",NA
"215","JPM366_EMBI366",1995-03-09,1689,"",NA
"216","JPM366_EMBI366",1995-03-10,1509,"",NA
"217","JPM366_EMBI366",1995-03-13,1457,"",NA
"218","JPM366_EMBI366",1995-03-14,1331,"",NA
